,contractor,country,value_in_euro,order_purpose,period_start,period_end,year
1,2H ENERGY,FRA,102008,BOITIER PRISES PC2 EQUIPE,2012-07-12,2012-12-12,2012
2,2H ENERGY,FRA,118200,ACCOUPLEMENT COMPLET BT 242,2012-07-12,2012-12-12,2012
3,3 M DEUTSCHLAND GMBH US,,,,,2012-07-12,2012-12-12
4,,DEU,84050,COMTAC XP FINNISH LOGOTYPE,2012-07-12,2012-12-12,2012
5,GOVERNMENT SERVICES EUROPE/3M,,,,,2012-07-12,2012-12-12
6,3M SERVICES GMBH,DEU,129774,HI VISIBILITY BELTS,2012-07-12,2012-12-12,2012
7,AEM LTD,GBR,113331,PROVISION OF SERVICES FOR FIXED WING AIRCRAFT,2012-07-12,2012-12-12,2012
8,AERAZUR - ZODIAC AEROSPACE,FRA,109640,"FIXTURE, LIGHTING",2012-07-12,2012-12-12,2012
9,AERAZUR - ZODIAC AEROSPACE,FRA,1413508,PARACHUTE DORSAL EPC-B,2012-07-12,2012-12-12,2012
10,AERO PRECISION INDUSTRIES INC,USA,264332,PROCUREMENT OF PARTS,2012-07-12,2012-12-12,2012
11,AEROSPACE INTL REPS,USA,86045,PROCUREMENT OF PARTS,2012-07-12,2012-12-12,2012
12,AGILENT TECHNOLOGIES ITALIA SPA,ITA,348501,SUPPLIES FOR FIXED WING AIRCRAFT,2012-07-12,2012-12-12,2012
13,AGUSTAWESTLAND LTD,GBR,1001332,SUPPLIES FOR HELICOPTER,2012-07-12,2012-12-12,2012
14,AIMPOINT AB,SWE,141600,"SIGTE,RØDPUNKTS,AIMPOINT M4S",2012-07-12,2012-12-12,2012
15,AIMPOINT AB,SWE,181927,COMPM3 2MOA,2012-07-12,2012-12-12,2012
16,ALCATEL-LUCENT,BEL,171392,CIS SUPPLY,2012-07-12,2012-12-12,2012
17,ALCATEL-LUCENT,BEL,357795,CIS SUPPLY,2012-07-12,2012-12-12,2012
18,ALENIA AERMACCHI SPA,ITA,86601,SUPPLIES FOR FIXED WING AIRCRAFT,2012-07-12,2012-12-12,2012
19,ALLEN-VANGUARD LTDASHCHURCH,ASHCHURCH,,,2012-07-12,2012-12-12,2012
20,,GBR,111060,UNDER VEHICLE TROLLEY MIRROR,2012-07-12,2012-12-12,2012
21,BUSINESS CENTRE,,,,,2012-07-12,2012-12-12
22,,,,"PROCUREMENT OF BLANK AMMUNITION 7,62",2012-07-12,2012-12-12,2012
23,AREX D.O.O.,,SVN,543561,,2012-07-12,2012-12-12
24,,,,MM,2012-07-12,2012-12-12,2012
25,ARMAMENT SYSTEMS &,,,,2012-07-12,2012-12-12,2012
26,,USA,94208,SIDEBREAK SCABBARDS SLIDE BLACK,2012-07-12,2012-12-12,2012
27,PROCEDURES INC,,,,2012-07-12,2012-12-12,2012
28,ARMAMENT SYSTEMS &,,,,2012-07-12,2012-12-12,2012
29,,USA,226366,F21FB FOAM BLACK CHROME,2012-07-12,2012-12-12,2012
30,PROCEDURES INC,,,,2012-07-12,2012-12-12,2012
31,ARMAR CORP GENERAL TECHNICAL,BGR,366588,MAILLONS & AMMO BOXES FOR MACHINE GUN,2012-07-12,2012-12-12,2012
32,ARPA SA EQUIPOS MOVILES DE,,,,2012-07-12,2012-12-12,2012
33,,ESP,905534,MUNITIONS SHIPPING AND STORAGE CONT,2012-07-12,2012-12-12,2012
34,CAMPANA ARPA,,,,2012-07-12,2012-12-12,2012
35,AVIALL INC,FRA,384067,SUPPLIES FOR HELICOPTER,2012-07-12,2012-12-12,2012
36,AVIALL INC,FRA,79140,SUPPLIES FOR FIXED WING AIRCRAFT,2012-07-12,2012-12-12,2012
37,AVIALL INC,FRA,226146,SUPPLIES FOR FIXED WING AIRCRAFT,2012-07-12,2012-12-12,2012
38,AVIALL INC,FRA,137536,SUPPLIES FOR FIXED WING AIRCRAFT,2012-07-12,2012-12-12,2012
39,AVIALL INC,FRA,115182,SUPPLIES FOR FIXED WING AIRCRAFT,2012-07-12,2012-12-12,2012
40,BAE SYSTEMS GLOBAL COMBAT,,,,2012-07-12,2012-12-12,2012
41,SYSTEMS M,GBR,4642555,CARTRIDGES,2012-07-12,2012-12-12,2012
42,BAE SYSTEMS HÄGGLUNDS AB,SWE,89356,SPROCKET WHEEL,2012-07-12,2012-12-12,2012
43,BAE SYSTEMS HÄGGLUNDS AB,SWE,97803,ROAD WHEEL WITH BEARING,2012-07-12,2012-12-12,2012
44,BAE SYSTEMS HÄGGLUNDS AB,SWE,100125,"ROAD WHEEL, WITH BEARING",2012-07-12,2012-12-12,2012
45,BAE SYSTEMS HÄGGLUNDS AB,SWE,100125,"ROAD WHEEL, WITH BEARING",2012-07-12,2012-12-12,2012
46,BELL HELICOPTER SUPPLY CENTER,,,,2012-07-12,2012-12-12,2012
47,,NLD,1676772,SUPPLIES FOR HELICOPTER,2012-07-12,2012-12-12,2012
48,BV,,,,2012-07-12,2012-12-12,2012
49,BELL HELICOPTER SUPPLY CENTER,,,,2012-07-12,2012-12-12,2012
50,,NLD,108026,SUPPLIES FOR HELICOPTER,2012-07-12,2012-12-12,2012
51,BV,,,,2012-07-12,2012-12-12,2012
52,BELL HELICOPTER SUPPLY CENTER,,,,2012-07-12,2012-12-12,2012
53,,NLD,589482,SUPPLIES FOR HELICOPTER,2012-07-12,2012-12-12,2012
54,BV,,,,2012-07-12,2012-12-12,2012
55,BELL HELICOPTER SUPPLY CENTER,,,,2012-07-12,2012-12-12,2012
56,,NLD,103634,SUPPLIES FOR HELICOPTER,2012-07-12,2012-12-12,2012
57,BV,,,,2012-07-12,2012-12-12,2012
58,BREN-TRONICS INC,USA,90760,"BATTERY,STORAGE",2012-07-12,2012-12-12,2012
59,BUMAR AMUNICJA SA,POL,166000,"CARTRIDGES, CALIBER 50",2012-07-12,2012-12-12,2012
60,BUNDESPOLIZEI FLIEGERGRUPPE,DEU,96584,PROVISION OF SERVICES FOR HELICOPTER,2012-07-12,2012-12-12,2012
61,CAE AVIATION SARL,LUX,1303165,CAMÉRA MX15DI,2012-07-12,2012-12-12,2012
62,CAMELBAK PRODUCTS INC,USA,77100,FIELD CLEANING KIT (INCL 2 CLEANING,2012-07-12,2012-12-12,2012
63,CAMELBAK PRODUCTS INC,USA,91540,CBR 4.0 THERMOBAK 3L OMEGA 100 OZ/3,2012-07-12,2012-12-12,2012
64,CAMELBAK PRODUCTS INC,USA,673380,CBR X THERMOBAK 3L MG OMEGA COYOTE,2012-07-12,2012-12-12,2012
65,CAMOPLAST SOLIDEAL,USA,150139,EXTERNAL DRIVE - TRACK,2012-07-12,2012-12-12,2012
66,CAMOPLAST SOLIDEAL,USA,153495,EXTERNAL DRIVE - TRACK,2012-07-12,2012-12-12,2012
67,CAMP SUPPLY INTERNATIONAL,NOR,287460,SERVICE CONCEPT AT CSI AFTER EX A,2012-07-12,2012-12-12,2012
68,CAPLOCK TRADING COMPANY,GBR,139500,CAMOUFLAGE FACE PAINT,2012-07-12,2012-12-12,2012
69,CASCADE DESIGNS INC,USA,361500,MSR EVO ASCENT SNOW SHOES,2012-07-12,2012-12-12,2012
70,CENREX SP ZOO,POL,152090,IZLID 1000P IR LASER POINTERS/ILLUM,2012-07-12,2012-12-12,2012
71,CENREX SP ZOO,POL,280437,"GBD III LASER POINTER (532-A1), INC",2012-07-12,2012-12-12,2012
72,CHEMRING COUNTERMEASURES LTD,GBR,526320,FLARES COUNTERMEASURE,2012-07-12,2012-12-12,2012
73,CHEMRING COUNTERMEASURES LTD,GBR,638106,"CHAFFS, COUNTERMEASURE",2012-07-12,2012-12-12,2012
74,CONSOLITE TECHNOLOGY LTD,GBR,127996,SUPPLIES FOR FIXED WING AIRCRAFT,2012-07-12,2012-12-12,2012
75,CONTINENTAL FRANCE SNC,FRA,239400,"TIRE,PNEUMATIC,VEHICULAR",2012-07-12,2012-12-12,2012
76,CRANE ELECTRONICS INC,USA,983378,AMPLIFIER,2012-07-12,2012-12-12,2012
77,CYALUME TECHNOLOGIES SAS,FRA,133500,"6"" BLUE 8HR PF",2012-07-12,2012-12-12,2012
78,CYALUME TECHNOLOGIES SAS,FRA,178000,"6"" GREEN 12HR PF",2012-07-12,2012-12-12,2012
79,DANIMA ENGINEERING,,,,2012-07-12,2012-12-12,2012
80,,ESP,123570,PLATAFORMA MIXTA,2012-07-12,2012-12-12,2012
81,ENVIRONMENTAL SA,,,,2012-07-12,2012-12-12,2012
82,DANIMA ENGINEERING,,,,2012-07-12,2012-12-12,2012
83,,ESP,205950,PLATAFORMA MIXTA,2012-07-12,2012-12-12,2012
84,ENVIRONMENTAL SA,,,,2012-07-12,2012-12-12,2012
85,DANIMA ENGINEERING,,,,2012-07-12,2012-12-12,2012
86,,ESP,377390,DANROLL 4 EJES 8*4,2012-07-12,2012-12-12,2012
87,ENVIRONMENTAL SA,,,,2012-07-12,2012-12-12,2012
88,DANIMA ENGINEERING,,,,2012-07-12,2012-12-12,2012
89,ENVIRONMENTAL SA,ESP,386140,SMIC,2012-07-12,2012-12-12,2012
90,DANIMA ENGINEERING,,,,2012-07-12,2012-12-12,2012
91,,ESP,436500,REM. VEMPAR LOGISTICO,2012-07-12,2012-12-12,2012
92,ENVIRONMENTAL SA,,,,2012-07-12,2012-12-12,2012
93,DANIMA ENGINEERING,,,,2012-07-12,2012-12-12,2012
94,,ESP,528346,DANROLL 4 EJES 8*4,2012-07-12,2012-12-12,2012
95,ENVIRONMENTAL SA,,,,2012-07-12,2012-12-12,2012
96,DANIMA ENGINEERING,,,,2012-07-12,2012-12-12,2012
97,ENVIRONMENTAL SA,ESP,540596,SMIC,2012-07-12,2012-12-12,2012
98,DANIMA ENGINEERING,,,,2012-07-12,2012-12-12,2012
99,,ESP,611100,REM. VEMPAR LOGISTICO,2012-07-12,2012-12-12,2012
100,ENVIRONMENTAL SA,,,,2012-07-12,2012-12-12,2012
101,DANIMA ENGINEERING,,,,2012-07-12,2012-12-12,2012
102,,ESP,700230,PLATAFORMA MIXTA,2012-07-12,2012-12-12,2012
103,ENVIRONMENTAL SA,,,,2012-07-12,2012-12-12,2012
104,DANTHERM AIR HANDLING A/S,DNK,95648,AIR CONDITIONER WITH 6/16 KW HEATIN,2012-07-12,2012-12-12,2012
105,DEFENSE TRADING CORPORATION,USA,95942,PROCUREMENT OF 8 VACUUM FLUORESCENT DISPLAYS,2012-07-12,2012-12-12,2012
106,DEFENSE TRADING CORPORATION,USA,202647,"HEATER,VEHICULAR,COMPARTMENT",2012-07-12,2012-12-12,2012
107,DESARROLLO DE EQUIPOS,,,,2012-07-12,2012-12-12,2012
108,,ESP,78000,"HOLSTER,PISTOL",2012-07-12,2012-12-12,2012
109,MILITARES SL,,,,2012-07-12,2012-12-12,2012
110,DIEHL BGT DEFENCE GMBH & CO KG,DEU,2583500,CARTRIDGES,2012-07-12,2012-12-12,2012
111,DIEHL DEFENCE LAND SYSTEMS,,,,2012-07-12,2012-12-12,2012
112,,DEU,253470,LAUFPOLSTER 840 B,2012-07-12,2012-12-12,2012
113,GMBH,,,,2012-07-12,2012-12-12,2012
114,DIEHL DEFENCE LAND SYSTEMS,,,,,2012-07-12,2012-12-12
115,GMBH,DEU,555600,PAD TRACK SHOE,,2012-07-12,2012-12-12
116,DIEHL DEFENCE LAND SYSTEMS,,,,,2012-07-12,2012-12-12
117,,DEU,593175,SPROCKET 570 E,,2012-07-12,2012-12-12
118,GMBH,,,,,2012-07-12,2012-12-12
119,DIMENSION DATA LUXEMBOURG,LUX,111732,LICENSES,,2012-07-12,2012-12-12
120,DUNLOP AIRCRAFT TYRES LTD,GBR,141520,SUPPLIES FOR FIXED WING AIRCRAFT,,2012-07-12,2012-12-12
121,CASSIDIAN EADS DEUTSCHLAND,,,,,2012-07-12,2012-12-12
122,,DEU,84910,"CHAMBER,CABLE TERMINAL",,2012-07-12,2012-12-12
123,GMBH,,,,,2012-07-12,2012-12-12
124,EADS-CASA,ESP,173372,SUPPLIES FOR FIXED WING AIRCRAFT,,2012-07-12,2012-12-12
125,EADS-CASA,ESP,324286,SUPPLIES FOR FIXED WING AIRCRAFT,,2012-07-12,2012-12-12
